x,y,r1r2 ZNCC,r2_x,r2_y,ref_x,ref_y,ref_z
1950,250,0.41035742,1902.812744,208.2070618,46.05784607,-39.79914093,634.8654175
1955,250,0.35933423,1901.734497,209.5505371,46.41841125,-39.81622696,635.7130737
1960,250,0.47277385,1913.982178,213.3025513,46.6323204,-39.63617325,634.5236206
1965,250,0.89822465,1916.999268,214.173996,46.94653702,-39.62896347,634.7432861
1970,250,0.93552607,1919.514282,213.6564941,47.26538086,-39.66821671,635.0390625
1975,250,0.97219884,1923.619263,215.8820953,47.56885529,-39.61003494,635.0927124
1980,250,0.99325573,1927.859009,215.9004517,47.86867905,-39.61703873,635.1246338
420,255,0.99813789,299.4021606,157.1363068,-46.66846848,-40.79150391,658.4672241
425,255,0.9980495,304.9498291,157.3083801,-46.3543129,-40.78783798,658.3875732
430,255,0.99806815,310.4959106,157.5656128,-46.04019165,-40.7816658,658.3079224
435,255,0.99779546,316.0443115,157.8231659,-45.72608948,-40.7754364,658.2276001
440,255,0.99678463,321.7858276,158.17099,-45.40990067,-40.76478577,658.1179199
445,255,0.9960385,327.4184876,158.3600006,-45.09510422,-40.75976181,658.0241699
450,255,0.99772036,332.6929932,158.4440002,-44.78416824,-40.76107407,657.9841309
455,255,0.99824798,338.1347351,158.6852264,-44.47135925,-40.75622559,657.9188843
460,255,0.99832648,343.6711121,158.8962708,-44.15764999,-40.75138855,657.8389893
465,255,0.99816906,349.1983948,159.1617737,-43.84408951,-40.74499893,657.7600708
470,255,0.99797273,354.8074341,159.3809662,-43.52975845,-40.73920059,657.668457
475,255,0.99768925,360.3331299,159.5682678,-43.21632767,-40.73509598,657.5891724
480,255,0.99785298,365.8916016,159.7601318,-42.90268326,-40.73050308,657.5044556
485,255,0.99779242,371.3588562,159.9633484,-42.58994293,-40.72642517,657.4334717
